,materia_aprobada,nota_final_materia,periodo,integrador,primer_parcial,recuperatorio_primer_parcial,recuperatorio_segundo_parcial,segundo_parcial,evaluacion_diagnostica,api1,api1_score,api1_time_to_submit[days],api2,api2_score,api2_time_to_submit[days],api3,api3_score,api3_time_to_submit[days],api4,api4_score,api4_time_to_submit[days],ed3,ed3_score,ed3_time_to_submit[days],ed4,ed4_score,ed4_time_to_submit[days],otros_trabajos,otros_trabajos_score,tp1,tp1_score,tp1_time_to_submit[days],tp2,tp2_score,tp2_time_to_submit[days],tp3,tp3_score,tp3_time_to_submit[days],tp4,tp4_score,tp4_time_to_submit[days],basic_lti_launch_submits,discussion_topic_submits,external_tool_submits,media_recording_submits,online_quiz_submits,online_text_entry_submits,online_upload_submits
03d83df8-9039-4f6e-8c75-e8711ed3b10a/d17e238c-c4c6-40d7-8085-801268d6d723,1,8.0,1-2022,-1,9,-1,-1,6,-1,1,100.0,44.7,1,100.0,44.7,1,100.0,44.7,1,100.0,85.8,1,80.0,85.5,4,100.0,89.3,-1,0.0,1,90.0,85.5,1,85.0,85.5,1,70.0,0.0,4,97.5,0.0,0,0,4,0,12,0,0
03edbe94-38c1-46bb-ac89-4f84b5cee7f0/06dd5f32-293c-442e-b602-08107eb61ea8,1,7.0,1-2022,-1,6,-1,-1,7,-1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,100.0,82.6,0,0,0,0,0,0,1
03edbe94-38c1-46bb-ac89-4f84b5cee7f0/09614210-fce2-48bc-93e3-bc4bd441fe00,1,8.0,1-2022,-1,9,-1,6,-1,-1,1,100.0,45.2,0,0.0,0.0,0,0.0,0.0,1,100.0,32.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,65.0,52.8,1,90.0,81.2,1,80.0,102.3,1,75.0,130.3,0,0,2,0,0,0,4
03edbe94-38c1-46bb-ac89-4f84b5cee7f0/7accaa21-b42f-443b-915c-6c2d5ee6d95c,1,7.0,1-2022,-1,7,-1,-1,7,-1,1,100.0,38.1,1,100.0,38.2,0,0.0,0.0,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,60.0,53.2,1,80.0,81.2,0,0.0,0.0,1,60.0,130.3,0,0,2,0,0,0,3
03edbe94-38c1-46bb-ac89-4f84b5cee7f0/d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,1,9.0,1-2022,-1,9,-1,-1,9,37,1,100.0,18.2,1,88.2,18.2,0,0.0,0.0,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,26.4,2,100.0,40.3,2,70.0,40.4,1,100.0,54.4,0,0,2,0,1,0,6
042dccfb-1131-464b-8463-122df6ca2475/076bbf49-961d-4bd7-92e9-3fd0796be1f7,1,8.0,1-2022,-1,9,-1,-1,6,-1,1,91.3,45.2,1,100.0,48.2,1,81.3,68.3,1,84.6,75.3,1,46.67,68.4,1,72.5,75.3,0,0.0,1,72.5,45.9,1,83.75,48.3,1,83.33,0.0,1,74.33,0.0,0,0,4,0,6,0,0
042dccfb-1131-464b-8463-122df6ca2475/c78af3b4-4574-4a82-8c41-45195ce43384,1,8.0,1-2022,-1,9,-1,-1,7,-1,1,85.0,45.4,1,100.0,54.3,1,95.85,65.2,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,85.0,49.0,1,80.0,54.3,1,85.0,65.3,0,0.0,0.0,0,0,3,0,3,0,0
042dccfb-1131-464b-8463-122df6ca2475/d17e238c-c4c6-40d7-8085-801268d6d723,1,7.0,1-2022,7,-1,-1,-1,6,-1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,75.0,72.1,1,40.0,72.3,-1,0.0,0,0.0,0.0,1,75.0,85.4,1,80.0,0.0,1,82.5,0.0,0,0,0,0,5,0,0
043f6441-7f60-417d-9c07-c1bfdcf3d1bf/2b274b15-83bb-4629-941e-fdc573af4e0b,1,7.0,1-2022,-1,7,-1,-1,6,-1,1,100.0,8.2,1,100.0,23.1,1,100.0,23.2,1,100.0,23.2,-1,0.0,-1.0,-1,0.0,-1.0,3,82.27,1,80.0,19.4,1,80.0,24.1,1,69.17,39.3,1,85.0,39.3,0,0,7,0,4,0,0
043f6441-7f60-417d-9c07-c1bfdcf3d1bf/c78af3b4-4574-4a82-8c41-45195ce43384,1,7.0,1-2022,-1,6,-1,-1,8,-1,1,100.0,42.1,1,100.0,42.1,1,91.65,65.3,1,100.0,65.3,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,90.0,50.4,1,82.5,56.5,1,81.67,70.2,1,92.5,70.2,0,0,4,0,4,0,0
